precision,recall,f1,ap,ndcg
0.8,0.01556420233463035,0.03053435114503817,0.013454233833611263,0.9466454870600813
0.0,0.0,0.0,0.0,0.0
0.4,0.016736401673640166,0.0321285140562249,0.012552301255230125,0.8988898126139723
0.4,0.027777777777777776,0.051948051948051945,0.017328042328042324,0.8285418996677884
0.0,0.0,0.0,0.0,0.0
0.3,0.05555555555555555,0.09375000000000001,0.01283068783068783,0.4401191709229659
0.2,0.04081632653061224,0.06779661016949151,0.014965986394557824,0.5437713091520254
0.6,0.03529411764705882,0.06666666666666667,0.03294117647058823,0.9796825595768971
1.0,0.02865329512893983,0.05571030640668524,0.02865329512893983,1.0
0.6,0.04580152671755725,0.08510638297872342,0.023636859323882223,0.6635732618910778
0.4,0.01932367149758454,0.03686635944700461,0.008373590982286634,0.6084170171049966
1.0,0.025906735751295335,0.0505050505050505,0.025906735751295335,1.0
1.0,0.02197802197802198,0.043010752688172046,0.02197802197802198,1.0
1.0,0.03076923076923077,0.059701492537313446,0.03076923076923077,1.0
0.2,1.0,0.33333333333333337,0.5833333333333333,0.6934264036172708
1.0,0.020202020202020204,0.03960396039603961,0.020202020202020204,1.0
0.1,0.2,0.13333333333333333,0.2,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.08064516129032258,0.13888888888888887,0.040399385560675884,0.6579462175810854
0.4,0.01444043321299639,0.027874564459930317,0.007701564380264741,0.7717609143252694
1.0,0.06666666666666667,0.125,0.06666666666666667,1.0
0.2,0.10526315789473684,0.13793103448275862,0.041353383458646614,0.5912352048230277
1.0,0.025839793281653745,0.05037783375314862,0.025839793281653745,1.0
0.6,0.2222222222222222,0.32432432432432434,0.15126396237507347,0.8684153012583528
1.0,0.021052631578947368,0.041237113402061855,0.021052631578947368,1.0
0.4,0.01084010840108401,0.021108179419525065,0.0057136404697380305,0.7654325652221775
