precision,recall,f1,ap,ndcg
0.4,0.2222222222222222,0.2857142857142857,0.1566358024691358,0.8773497378596238
0.3,0.08108108108108109,0.12765957446808512,0.04864864864864865,0.8070380459557518
0.9,0.07964601769911504,0.14634146341463417,0.07964601769911504,1.0
0.1,0.043478260869565216,0.06060606060606061,0.008695652173913044,0.38685280723454163
1.0,0.025906735751295335,0.0505050505050505,0.025906735751295335,1.0
1.0,0.023752969121140142,0.04640371229698376,0.023752969121140142,1.0
0.3,0.04477611940298507,0.0779220779220779,0.012473347547974412,0.49418556194058083
0.8,0.06504065040650407,0.12030075187969926,0.05622338366240805,0.9466454870600813
0.3,0.012195121951219513,0.0234375,0.012195121951219513,1.0
1.0,0.13513513513513514,0.2380952380952381,0.13513513513513514,1.0
0.7,0.04142011834319527,0.0782122905027933,0.02707100591715976,0.7760784709829227
0.1,0.2,0.13333333333333333,0.06666666666666667,0.5
0.1,0.015384615384615385,0.02666666666666667,0.003076923076923077,0.38685280723454163
1.0,0.01858736059479554,0.03649635036496351,0.01858736059479554,1.0
0.5,0.014164305949008499,0.027548209366391182,0.011095372993389991,0.9180654083817015
0.0,0.0,0.0,0.0,0.0
0.7,0.03932584269662921,0.07446808510638298,0.030430711610486893,0.8971499994450843
1.0,0.01824817518248175,0.035842293906810034,0.01824817518248175,1.0
1.0,0.01834862385321101,0.03603603603603604,0.01834862385321101,1.0
0.4,0.4,0.4000000000000001,0.2838095238095238,0.8667163765466583
0.1,0.03571428571428571,0.05263157894736841,0.03571428571428571,1.0
0.1,0.25,0.14285714285714288,0.08333333333333333,0.5
0.2,0.5,0.28571428571428575,0.5,1.0
0.3,0.01171875,0.022556390977443608,0.007682291666666666,0.8395700624665824
0.9,0.03734439834024896,0.07171314741035856,0.03646841862609498,0.9937947856332161
0.6,0.14285714285714285,0.23076923076923073,0.12176870748299319,0.9502262648327979
1.0,0.059880239520958084,0.11299435028248588,0.059880239520958084,1.0
1.0,0.02932551319648094,0.05698005698005699,0.02932551319648094,1.0
1.0,0.02881844380403458,0.05602240896358543,0.02881844380403458,1.0
0.4,0.013651877133105802,0.026402640264026403,0.012189176011701608,0.9619991470595832
1.0,0.02320185614849188,0.045351473922902494,0.02320185614849188,1.0
0.3,0.009375,0.01818181818181818,0.002976190476190476,0.5323325778787926
1.0,0.029585798816568046,0.05747126436781609,0.029585798816568046,1.0
1.0,0.03048780487804878,0.05917159763313609,0.03048780487804878,1.0
1.0,0.2702702702702703,0.4255319148936171,0.2702702702702703,1.0
0.3,0.014563106796116505,0.02777777777777778,0.008552935737401757,0.7928654229965442
0.7,0.028688524590163935,0.05511811023622048,0.028688524590163935,1.0
